"182398"|"0"|"581"|"0"|"3"|"201705000"|"20170912"|"0"|"CCM17050131JTT01"|"1"|"75627"|""|""|""|"0"|""|""|"1"|"1"
"182399"|"0"|"581"|"0"|"2"|"201705000"|"20170912"|"0"|"CGH17050131JTT01"|"1"|"75627"|""|""|""|"0"|""|""|"1"|"1"
"182400"|"0"|"581"|"0"|"3"|"201706000"|"20170912"|"0"|"CCM17060130JTT01"|"1"|"75627"|""|""|""|"0"|""|""|"1"|"1"
"182401"|"0"|"581"|"0"|"2"|"201706000"|"20170912"|"0"|"CGH17060130JTT01"|"1"|"75627"|""|""|""|"0"|""|""|"1"|"1"
"182402"|"0"|"316"|"0"|"15"|"9567"|"20170912"|"0"|"CMS16010130USA31"|"1"|"75626"|""|"0"|""|"1"|"20170912"|"0"|"1"|"1"
"182403"|"0"|"581"|"0"|"17"|"9547"|"20170912"|"0"|"CCM17060131JTT01"|"1"|"75627"|""|"0"|""|"1"|"20170912"|"0"|"1"|"1"
"182404"|"0"|"10002"|"0"|"3"|"201701000"|"20170912"|"0"|"CCM17010131MGL04"|"1"|"76973"|""|""|""|"0"|""|""|"1"|"1"
"182405"|"0"|"10002"|"0"|"3"|"201702000"|"20170912"|"0"|"CCM17020128MGL04"|"1"|"76973"|""|""|""|"0"|""|""|"1"|"1"
"182406"|"0"|"10002"|"0"|"3"|"201703000"|"20170912"|"0"|"CCM17030131MGL04"|"1"|"76973"|""|""|""|"0"|""|""|"1"|"1"
"182407"|"0"|"10002"|"0"|"3"|"201704000"|"20170912"|"0"|"CCM17040130MGL04"|"1"|"76973"|""|""|""|"0"|""|""|"1"|"1"
"182408"|"0"|"10002"|"0"|"3"|"201705000"|"20170912"|"0"|"CCM17050131MGL04"|"1"|"76973"|""|""|""|"0"|""|""|"1"|"1"
"182409"|"0"|"10002"|"0"|"3"|"201706000"|"20170912"|"0"|"CCM17060130MGL04"|"1"|"76973"|""|""|""|"0"|""|""|"1"|"1"
