259|SWEDEN TELIA|1|3|0|0|SWE01|正常|1999/1/1|2035/1/1|94|1|admin|2016/7/4 9:23:13|
7455|APBW|1|1|0|0|TAI31|正常|2008/7/30|2035/1/1|37|0|lyf|2008/7/31 17:57:03|
7456|Iusacell|1|1|0|0|MEX02|正常|2008/7/30|2035/1/1|101|0|lyf|2008/7/31 18:00:53|
337|MARISAT PACIFIC|1|1|0|0|MRS04|正常|1999/1/1|2035/1/1|251|1|system|2007/9/13 7:58:55|
338|MARISAT ATLANTIC EAST/A|1|1|0|0|MRS11|正常|1999/1/1|2035/1/1|252|1|system|2007/9/13 7:58:55|
339|MARISAT ATLANTIC EAST/B|1|1|0|0|MRS12|正常|1999/1/1|2035/1/1|253|1|system|2007/9/13 7:58:56|
55|CHILE TELEX CHILE(TG/TX)|1|1|0|0|CHL02|正常|1999/1/1|2035/1/1|107|0|system|2007/9/13 7:58:55|
56|CHILE VTR/CM(TG/TX)|1|1|0|0|CHL03|正常|1999/1/1|2035/1/1|107|0|system|2007/9/13 7:58:55|
57|CHILE TEXCOM(TG/TX)|1|1|0|0|CHL04|正常|1999/1/1|2035/1/1|107|0|system|2007/9/13 7:58:55|
58|COOK IS.TCI|1|1|0|0|CKI01|正常|1999/1/1|2035/1/1|192|1|system|2007/9/13 7:58:55|
59|CAYMAN IS.C|1|1|0|0|CMI01|正常|1999/1/1|2035/1/1|220|1|system|2007/9/13 7:58:55|
60|CAMEROON INTELCAM|1|1|0|0|CMR01|正常|1999/1/1|2035/1/1|136|1|system|2007/9/13 7:58:55|
61|CANARIES IS. TELECOM|1|1|0|0|CNI01|正常|1999/1/1|2035/1/1|237|1|system|2007/9/13 7:58:55|
62|COLOMBIA TELECOM|1|1|0|0|COL01|正常|1999/1/1|2035/1/1|108|1|system|2007/9/13 7:58:55|
63|COMORO SNPT|1|1|0|0|COM01|正常|1999/1/1|2035/1/1|140|1|system|2007/9/13 7:58:55|
